MTPC-13-407 & 16 & 206 & 19 & 8 & 33 & 10 \\
MTPC-13-410 & 17 & 8 & 2 & 1 & 3 & 1 \\
MTPC-13-411 & 17 & 123 & 16 & 4 & 22 & 3 \\
MTPC-13-412 & 17 & 185 & 33 & 19 & 90 & 14 \\
MTPC-13-413 & 17 & 130 & 13 & 6 & 22 & 3 \\
MTPC-13-414 & 16 & 21 & 4 & 2 & 10 & 2 \\
MTPC-13-415 & 16 & 29 & 5 & 3 & 11 & 2 \\
MTPC-13-416 & 17 & 83 & 14 & 3 & 18 & 5 \\
MTPC-13-417 & 16 & 25 & 5 & 5 & 18 & 2 \\
MTPC-13-418 & 17 & 139 & 17 & 2 & 20 & 11 \\
MTPC-13-419 & 17 & 114 & 35 & 19 & 63 & 7 \\
MTPC-13-420 & 17 & 31 & 3 & 3 & 15 & 2 \\
MTPC-13-468 & 14 & 58 & 8 & 5 & 17 & 1 \\
TEC-II-5-114 & 22 & 163 & 12 & 5 & 21 & 1 \\
TEC-II-5-115 & 26 & 148 & 27 & 15 & 58 & 4 \\
TEC-II-5-116 & 18 & 53 & 25 & 7 & 43 & 3 \\
TEC-II-5-117 & 19 & 90 & 8 & 4 & 16 & 1 \\
TEC-II-5-118 & 15 & 48 & 4 & 5 & 15 & 0 \\
TEC-II-5-129 & 22 & 143 & 14 & 5 & 25 & 4 \\
TEC-II-5-130 & 22 & 84 & 13 & 4 & 20 & 6 \\
TEC-II-5-131 & 20 & 105 & 13 & 5 & 20 & 3 \\
TEC-II-5-132 & 21 & 99 & 7 & 4 & 15 & 2 \\
TEC-II-5-153 & 29 & 159 & 15 & 4 & 20 & 0 \\
TEC-II-5-154 & 28 & 148 & 14 & 3 & 18 & 0 \\
TEC-II-5-155 & 27 & 233 & 14 & 4 & 21 & 4 \\
TEC-II-5-156 & 28 & 99 & 15 & 4 & 19 & 4 \\
TEC-II-5-157 & 27 & 132 & 13 & 5 & 19 & 4 \\
TEC-II-5-158 & 29 & 80 & 12 & 6 & 22 & 2 \\
TEC-II-5-159 & 29 & 105 & 13 & 3 & 18 & 3 \\
TEC-II-5-160 & 29 & 124 & 12 & 4 & 19 & 5 \\
TEC-II-5-161 & 29 & 92 & 7 & 6 & 19 & 1 \\
TEC-II-5-162 & 27 & 126 & 9 & 6 & 24 & 1 \\
TEC-II-5-166 & 25 & 122 & 10 & 5 & 19 & 2 \\
TEC-II-5-167 & 25 & 116 & 13 & 4 & 18 & 5 \\
TEC-II-5-168 & 25 & 80 & 9 & 3 & 16 & 3 \\
TEC-II-5-169 & 25 & 38 & 3 & 4 & 15 & 1 \\
TEC-II-5-170 & 25 & 57 & 7 & 5 & 17 & 2 \\
TEC-II-5-177 & 27 & 37 & 6 & 6 & 19 & 2 \\
TEC-II-5-178 & 27 & 122 & 9 & 6 & 19 & 2 \\
TEC-II-5-179 & 27 & 111 & 13 & 3 & 18 & 6 \\
TEC-II-5-180 & 26 & 72 & 11 & 3 & 16 & 6 \\
TEC-II-5-181 & 25 & 77 & 10 & 7 & 18 & 1 \\
TEC-II-5-185 & 19 & 46 & 5 & 2 & 9 & 2 \\
TEC-II-5-186 & 20 & 161 & 12 & 5 & 20 & 3 \\
TEC-II-5-187 & 21 & 188 & 18 & 4 & 25 & 7 \\
TEC-II-5-188 & 24 & 125 & 12 & 5 & 19 & 1 \\
TEC-II-5-189 & 25 & 192 & 12 & 4 & 19 & 5 \\
TEC-II-5-190 & 26 & 216 & 15 & 4 & 21 & 6 \\
TEC-II-5-191 & 24 & 154 & 14 & 4 & 21 & 5 \\
TEC-II-5-192 & 25 & 143 & 13 & 6 & 27 & 3 \\
TEC-II-5-4 & 44 & 660 & 54 & 49 & 272 & 9 \\
TEC-II-5-5 & 98 & 857 & 45 & 24 & 162 & 4 \\
TEC-II-5-6 & 44 & 637 & 54 & 44 & 179 & 6 \\
TEC-II-5-7 & 48 & 604 & 48 & 35 & 155 & 10 \\
TEC-II-5-8 & 45 & 243 & 42 & 30 & 115 & 5 \\
